# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-3.0000 10.0933 0.4981 7.3155 3.2027 259.1181 6.5581 7.7848 4.5553 0.0440 8.4397
0.0000 10.3464 0.4981 0.0000 10.9175 276.3711 6.5481 8.2931 4.5372 0.0468 8.4279
3.0000 10.0933 0.4981 7.3155 9.2027 259.1181 6.5581 7.7848 4.5553 0.0440 8.4397
6.0000 9.3079 0.4981 13.6208 9.2145 209.7127 6.6199 6.3240 4.5972 0.0358 8.4997
9.0000 7.9099 0.5099 18.0523 9.2463 135.2349 6.7717 4.1096 4.7290 0.0235 8.6597
12.0000 5.8161 0.5699 20.0294 9.2963 49.2656 7.5235 1.4913 5.3399 0.0091 9.3397
15.0000 3.0032 0.8135 19.3285 9.3681 60.9667 11.5672 1.7082 9.6843 0.0095 1.3733
18.0000 1.1051 4.6680 16.1024 9.4817 146.3941 0.1345 4.3634 10.1998 0.0239 2.0315
21.0000 5.0727 5.9608 10.8825 9.7272 219.3636 0.2981 6.6686 10.3435 0.0365 2.2233
24.0000 9.7106 6.1163 4.8522 10.6079 271.1200 0.3999 8.3754 10.4353 0.0457 2.3433
27.0000 14.4444 6.1881 5.0007 1.8872 299.0023 0.4817 9.3815 10.5072 0.0511 2.4533
30.0000 18.9072 6.2399 11.4313 2.7527 303.9974 0.5635 9.6944 10.5790 0.0525 2.5550
33.0000 22.7094 6.2817 17.5099 3.0081 289.2434 0.6454 9.3932 10.6508 0.0506 2.6650
36.0000 25.5164 6.3254 22.2750 3.1435 259.6348 0.7272 8.6107 10.7227 0.0462 2.7768
39.0000 27.1624 6.3754 25.3789 3.2472 221.5410 0.8172 7.5110 10.8045 0.0400 2.8968
42.0000 27.5827 6.4190 26.7492 3.3372 180.2802 0.9190 6.2642 10.8945 0.0332 3.0286
45.0000 26.7513 6.4708 26.5043 3.4108 139.6540 1.0190 4.9925 10.9863 0.0262 3.1686
48.0000 24.8530 6.5243 24.9222 3.4843 102.9590 1.1408 3.7984 11.0899 0.0199 3.3304
51.0000 22.2695 6.5861 22.3686 3.5461 73.1165 1.2808 2.7883 11.2199 0.0145 3.5104
54.0000 19.1698 6.6279 19.2042 3.6179 49.6345 1.3908 1.9644 11.3217 0.0101 3.6804
57.0000 15.6641 6.6815 15.8014 3.6797 30.6510 1.5343 1.2649 11.4554 0.0065 3.8821
60.0000 12.3729 6.7733 12.4575 3.7397 18.9792 1.8743 0.8135 11.8008 0.0041 4.2774
63.0000 9.6303 6.8233 9.3620 3.7915 12.8829 1.8908 0.5828 11.8654 0.0029 4.4139
66.0000 6.8290 6.7850 6.6692 3.8433 6.1653 1.5490 0.2862 11.5054 0.0014 4.0904
69.0000 4.3866 6.8486 4.5278 3.9050 2.3815 1.7868 0.0814 0.0399 0.0004 4.0351
72.0000 2.5866 6.9168 2.9479 3.9450 0.4714 0.8851 0.0608 4.4854 0.0004 10.8997
75.0000 1.4653 7.2568 1.8479 3.9033 0.8774 4.1318 0.1209 3.4533 0.0005 9.2561
78.0000 0.8431 7.4233 1.1201 3.6215 0.4804 1.9772 0.1002 2.9968 0.0005 9.1704
81.0000 0.4416 7.1797 0.6922 2.9715 0.3858 11.2356 0.0641 2.5868 0.0004 8.9361
84.0000 0.2156 6.1379 0.4825 2.1068 1.3474 2.7239 0.0313 2.2486 0.0001 3.7617
87.0000 0.1325 4.7504 0.3075 1.4421 5.7370 9.3156 0.0086 1.9286 0.0010 9.2556
