# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-12.0000 0.5003 4.4890 17.4255 0.7782 132.5807 3.8784 3.2745 2.5782 0.0144 5.5275
-9.0000 4.3563 3.8384 14.2477 0.7782 217.2293 3.8683 5.3862 2.5282 0.0242 5.5274
-6.0000 7.4754 3.8083 10.0968 0.7782 284.5874 3.8583 7.0679 2.5081 0.0320 5.5274
-3.0000 9.4986 3.7883 5.2393 0.7782 327.9177 3.8583 8.1552 2.4981 0.0371 5.5274
0.0000 10.2012 3.7883 0.0000 11.9770 342.8951 3.8582 8.5278 2.4981 0.0388 5.5274
3.0000 9.4986 3.7883 5.2393 6.7782 327.9177 3.8583 8.1552 2.4981 0.0371 5.5274
6.0000 7.4754 3.8083 10.0968 6.7782 284.5874 3.8583 7.0679 2.5081 0.0320 5.5274
9.0000 4.3563 3.8384 14.2477 6.7782 217.2293 3.8683 5.3862 2.5282 0.0242 5.5274
12.0000 0.5003 4.4890 17.4255 6.7782 132.5807 3.8784 3.2745 2.5782 0.0144 5.5275
15.0000 3.7945 9.6781 19.4982 6.7882 38.6412 3.9387 0.9440 2.8485 0.0037 5.5379
18.0000 8.0072 9.7283 20.4155 6.7883 56.4116 9.7979 1.4458 8.2678 0.0071 11.5171
21.0000 11.8274 9.7483 20.2567 6.7883 144.7972 9.8382 3.6327 8.4280 0.0170 11.5273
24.0000 14.9633 9.7683 19.1816 6.7884 220.4678 9.8582 5.5009 8.4681 0.0253 11.5274
27.0000 17.2433 9.7783 17.3847 6.7884 279.2090 9.8583 6.9457 8.4981 0.0316 11.5274
30.0000 18.5881 9.7884 15.1172 6.7985 318.8777 9.8683 7.9049 8.5282 0.0357 11.5275
33.0000 19.0287 9.7884 12.5923 6.7885 339.4136 9.8783 8.3937 8.5482 0.0377 11.5275
36.0000 18.6624 9.7984 10.0312 6.7886 342.4084 9.8783 8.4487 8.5682 0.0377 11.5275
39.0000 17.6411 9.8084 7.5925 6.7786 330.3748 9.8884 8.1311 8.5782 0.0361 11.5275
42.0000 16.1373 9.8085 5.3914 6.7587 306.8967 9.8884 7.5325 8.5983 0.0333 11.5276
45.0000 14.3220 9.8185 3.5086 6.7189 275.3592 9.8984 6.7444 8.6083 0.0297 11.5276
48.0000 12.3595 9.8185 1.9760 6.6491 239.1758 9.8984 5.8439 8.6183 0.0257 11.5176
51.0000 10.3849 9.8285 0.7992 6.4097 201.4601 9.8984 4.9117 8.6283 0.0216 11.5176
54.0000 8.5148 9.8385 0.1795 2.9494 164.5457 9.9084 4.0064 8.6383 0.0176 11.5177
57.0000 6.7910 9.8385 0.6666 1.2478 130.1345 9.9084 3.1663 8.6483 0.0139 11.5177
60.0000 5.2561 9.8485 0.9900 1.0682 99.3844 9.9085 2.4137 8.6483 0.0106 11.5276
63.0000 3.9950 9.8685 1.1265 1.0083 73.4685 9.9184 1.7857 8.6584 0.0078 11.5277
66.0000 2.9540 9.8485 1.1142 0.9684 51.9229 9.9084 1.2700 8.6483 0.0055 11.5376
69.0000 2.0550 9.8385 1.0049 0.9584 34.4304 9.9085 0.8424 8.6384 0.0037 11.5376
72.0000 1.3827 9.8885 0.8484 0.9584 21.8266 9.9385 0.5323 8.6683 0.0023 11.5676
75.0000 0.9052 9.9285 0.6699 0.9384 12.8720 9.9284 0.3147 8.6783 0.0014 11.5576
78.0000 0.5653 9.9385 0.4860 0.8685 6.8028 9.8784 0.1688 8.6583 0.0007 11.5276
81.0000 0.3227 9.8885 0.3116 0.7385 2.8178 9.6984 0.0773 8.5583 0.0003 11.6174
84.0000 0.1526 9.7185 0.1639 0.5084 1.1479 9.6984 0.0263 8.3583 0.0001 11.1877
87.0000 0.0475 9.2984 0.0583 0.0384 1.5792 4.4886 0.0046 7.9082 0.0003 4.3187
